站点,渠道ID,令牌ID,原名称,新名称,对应调度账号ID
板栗API,b32a1769-279c-482a-aff5-6ed5563bf389,547,板栗API · cc-kiro高缓 · #547,板栗API · 0.1×,7429
板栗API,b32a1769-279c-482a-aff5-6ed5563bf389,2832,板栗API · gpt-plus · #2832,板栗API · 0.13×,
板栗API,b32a1769-279c-482a-aff5-6ed5563bf389,3346,板栗API · grok free · #3346,板栗API · 0.04×,
板栗API,b32a1769-279c-482a-aff5-6ed5563bf389,3347,板栗API · grok1 free · #3347,板栗API · 0.04×,
板栗API,b32a1769-279c-482a-aff5-6ed5563bf389,3348,板栗API · gemini · #3348,板栗API · 0.2×,7419
Anc1ent API,c526d084-5568-4aeb-b7f0-50c4cd8f622b,724,Anc1ent API · Claude Kiro | 99%缓存(opus-4-8映射神话5) · #724,Anc1ent API · 0.085×,7367
Anc1ent API,c526d084-5568-4aeb-b7f0-50c4cd8f622b,753,Anc1ent API · GPT Pro20x | 特惠PRO · #753,Anc1ent API · 0.12×,7380
Anc1ent API,c526d084-5568-4aeb-b7f0-50c4cd8f622b,809,Anc1ent API · GPT Plus | 特惠分组 · #809,Anc1ent API · 0.06×,7415
Bot Compute Fabric,ea7d7f62-6cd4-41c5-b35b-b375ad3462aa,26575,Bot Compute Fabric · 🚀codex-pro · #26575,Bot Compute Fabric · 0.25×,
Bot Compute Fabric,ea7d7f62-6cd4-41c5-b35b-b375ad3462aa,18537,Bot Compute Fabric · 💸grok-promo · #18537,Bot Compute Fabric · 0.08×,7417
Bot Compute Fabric,ea7d7f62-6cd4-41c5-b35b-b375ad3462aa,8937,Bot Compute Fabric · 🤓deepseek-v4-flash-0731 · #8937,Bot Compute Fabric · 倍率未知,
Bot Compute Fabric,ea7d7f62-6cd4-41c5-b35b-b375ad3462aa,7834,Bot Compute Fabric · 🧪claude-kiro · #7834,Bot Compute Fabric · 0.12×,7347
Bot Compute Fabric,ea7d7f62-6cd4-41c5-b35b-b375ad3462aa,7822,Bot Compute Fabric · 🪐gemini-antigravity · #7822,Bot Compute Fabric · 0.28×,7418
Bot Compute Fabric,ea7d7f62-6cd4-41c5-b35b-b375ad3462aa,7476,Bot Compute Fabric · 078 · #7476,Bot Compute Fabric · 倍率未知,
Bot Compute Fabric,ea7d7f62-6cd4-41c5-b35b-b375ad3462aa,5416,Bot Compute Fabric · ⚓codex-plus · #5416,Bot Compute Fabric · 0.08×,7420
byecore,f2e1fcc1-4c5f-4dcd-9bd4-5729b7d91f69,1072,byecore · Claude-Max · #1072,byecore · 0.63×,
byecore,f2e1fcc1-4c5f-4dcd-9bd4-5729b7d91f69,1071,byecore · Claude-Kiro · #1071,byecore · 0.1×,7416
byecore,f2e1fcc1-4c5f-4dcd-9bd4-5729b7d91f69,1070,byecore · GPT-Plus · #1070,byecore · 0.05×,
byecore,f2e1fcc1-4c5f-4dcd-9bd4-5729b7d91f69,962,byecore · GPT-Pro · #962,byecore · 0.14×,
byecore,f2e1fcc1-4c5f-4dcd-9bd4-5729b7d91f69,582,byecore · Kimi · #582,byecore · 倍率未知,
